CALENDAR_YEAR,COUNTY,ACCOUNT_CODE_NARRATIVE,FINANCIAL_STATEMENT,FINANCIAL_STATEMENT_SEGMENT,LEVEL_1_CATEGORY,LEVEL_2_CATEGORY,OBJECT_OF_EXPENDITURE,AMOUNT,
2015,Albany,REAL PROPERTY TAXES,STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,REAL PROPERTY TAXES AND ASSESSMENTS,REAL PROPERTY TAXES,,81461326.08,
2015,Albany,"LEGISLATIVE BOARD, PERS SERV",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,ADMINISTRATION,Personal Services,1863465.22,
2015,Albany,"LEGISLATIVE BOARD, EQUIP & CAP OUTLAY",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,ADMINISTRATION,Equipment and Capital Outlay,1408.87,
2015,Albany,"LEGISLATIVE BOARD, CONTR EXPEND",STATEMENT OF EXPENDITURES AND OTHER USES,EXPENDITURES,GENERAL GOVERNMENT,ADMINISTRATION,Contractual,280531.03,
2015,Albany,GAIN FROM SALE OF TAX ACQ PROPERTY,STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,OTHER REAL PROPERTY TAX ITEMS,GAIN FROM SALE OF TAX ACQUIRED PROPERTY,,795086.84,
2015,Albany,OTHER PAYMENTS IN LIEU OF TAXES,STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,OTHER REAL PROPERTY TAX ITEMS,PAYMENTS IN LIEU OF TAXES,,2776078.13,
2015,Albany,INTEREST & PENALTIES ON REAL PROP TAXES,STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,OTHER REAL PROPERTY TAX ITEMS,INTEREST & PENALTIES,,5653876.14,
2015,Albany,SALES AND USE TAX,STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,SALES AND USE TAX,SALES TAX,,256720211.9,
2015,Albany,TAX ON HOTEL ROOM OCCUPANCY,STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,SALES AND USE TAX,MISCELLANEOUS USE TAXES,,8744930.76,
2015,Albany,EMERGENCY TELEPHONE SYSTEM SURCHARGE,STATEMENT OF REVENUES AND OTHER SOURCES,REVENUES,OTHER NON-PROPERTY TAXES,EMERGENCY TELEPHONE SYSTEM SURCHARGE,,1294117.19,
