County,Year,Population
Albany,2015,307463
Allegany,2015,48070
Bronx,2015,1428357
Broome,2015,198093
Cattaraugus,2015,78962
Cayuga,2015,79173
Chautauqua,2015,132646
Chemung,2015,88267
Chenango,2015,49549
Clinton,2015,81685
Columbia,2015,62195
Cortland,2015,49043
Delaware,2015,46901
Dutchess,2015,296928
Erie,2015,921584
Essex,2015,38912
Franklin,2015,51280
Fulton,2015,54606
Genesee,2015,59458
Greene,2015,48312
Hamilton,2015,4760
Herkimer,2015,64034
Jefferson,2015,118947
Kings,2015,2595259
Lewis,2015,27124
Livingston,2015,64801
Madison,2015,72427
Monroe,2015,749356
Montgomery,2015,49779
Nassau,2015,1354612
New York,2015,1629507
Niagara,2015,214150
Oneida,2015,233558
Onondaga,2015,468304
Ontario,2015,109192
Orange,2015,375384
Orleans,2015,42204
Oswego,2015,121183
Otsego,2015,61399
Putnam,2015,99488
Queens,2015,2301139
Rensselaer,2015,159900
Richmond,2015,472481
Rockland,2015,320688
St. Lawrence,2015,112011
Saratoga,2015,223774
Schenectady,2015,154796
Schoharie,2015,31913
Schuyler,2015,18410
Seneca,2015,35144
Steuben,2015,98665
Suffolk,2015,1501373
Sullivan,2015,76330
Tioga,2015,50199
Tompkins,2015,103855
Ulster,2015,181300
Warren,2015,65180
Washington,2015,62700
Wayne,2015,92416
Westchester,2015,967315
Wyoming,2015,41446
Yates,2015,25187
Albany,2014,306124
Allegany,2014,48387
Bronx,2014,1413566
Broome,2014,198797
Cattaraugus,2014,79397
Cayuga,2014,79481
Chautauqua,2014,133556
Chemung,2014,88681
Chenango,2014,49868
Clinton,2014,81829
Columbia,2014,62525
Cortland,2014,49231
Delaware,2014,47223
Dutchess,2014,297388
Erie,2014,920694
Essex,2014,39072
Franklin,2014,51508
Fulton,2014,54870
Genesee,2014,59702
Greene,2014,48618
Hamilton,2014,4783
Herkimer,2014,64329
Jefferson,2014,118885
Kings,2014,2570801
Lewis,2014,27164
Livingston,2014,64867
Madison,2014,72731
Monroe,2014,748076
Montgomery,2014,49951
Nassau,2014,1350601
New York,2014,1618398
Niagara,2014,214973
Oneida,2014,233944
Onondaga,2014,467846
Ontario,2014,108975
Orange,2014,374518
Orleans,2014,42492
Oswego,2014,121659
Otsego,2014,61778
Putnam,2014,99697
Queens,2014,2280602
Rensselaer,2014,159600
Richmond,2014,471522
Rockland,2014,318186
St. Lawrence,2014,112015
Saratoga,2014,222512
Schenectady,2014,155178
Schoharie,2014,32153
Schuyler,2014,18458
Seneca,2014,35232
Steuben,2014,98917
Suffolk,2014,1500373
Sullivan,2014,76892
Tioga,2014,50464
Tompkins,2014,103179
Ulster,2014,181598
Warren,2014,65388
Washington,2014,62910
Wayne,2014,92887
Westchester,2014,962319
Wyoming,2014,41679
Yates,2014,25281
Albany,2013,305279
Allegany,2013,48618
Bronx,2013,1397315
Broome,2013,199298
Cattaraugus,2013,79735
Cayuga,2013,79767
Chautauqua,2013,134156
Chemung,2013,88876
Chenango,2013,50121
Clinton,2013,81865
Columbia,2013,62674
Cortland,2013,49271
Delaware,2013,47491
Dutchess,2013,297385
Erie,2013,919230
Essex,2013,39181
Franklin,2013,51676
Fulton,2013,55165
Genesee,2013,59872
Greene,2013,48928
Hamilton,2013,4813
Herkimer,2013,64428
Jefferson,2013,118073
Kings,2013,2539789
Lewis,2013,27108
Livingston,2013,65087
Madison,2013,72839
Monroe,2013,746548
Montgomery,2013,50019
Nassau,2013,1343765
New York,2013,1605272
Niagara,2013,215465
Oneida,2013,234206
Onondaga,2013,467202
Ontario,2013,108311
Orange,2013,373902
Orleans,2013,42663
Oswego,2013,121797
Otsego,2013,62029
Putnam,2013,99718
Queens,2013,2256400
Rensselaer,2013,159565
Richmond,2013,470223
Rockland,2013,315069
St. Lawrence,2013,112097
Saratoga,2013,221169
Schenectady,2013,154821
Schoharie,2013,32404
Schuyler,2013,18432
Seneca,2013,35359
Steuben,2013,98951
Suffolk,2013,1495803
Sullivan,2013,77134
Tioga,2013,50789
Tompkins,2013,102270
Ulster,2013,182086
Warren,2013,65584
Washington,2013,63237
Wayne,2013,93224
Westchester,2013,956283
Wyoming,2013,41923
Yates,2013,25293
Albany,2012,304511
Allegany,2012,48837
Bronx,2012,1386364
Broome,2012,199928
Cattaraugus,2012,80166
Cayuga,2012,79996
Chautauqua,2012,134599
Chemung,2012,88779
Chenango,2012,50490
Clinton,2012,82054
Columbia,2012,62881
Cortland,2012,49453
Delaware,2012,47851
Dutchess,2012,297291
Erie,2012,919542
Essex,2012,39309
Franklin,2012,51698
Fulton,2012,55358
Genesee,2012,59992
Greene,2012,49122
Hamilton,2012,4835
Herkimer,2012,64475
Jefferson,2012,117011
Kings,2012,2512740
Lewis,2012,27062
Livingston,2012,65215
Madison,2012,72977
Monroe,2012,744746
Montgomery,2012,50025
Nassau,2012,1338712
New York,2012,1596735
Niagara,2012,215869
Oneida,2012,234336
Onondaga,2012,466179
Ontario,2012,107728
Orange,2012,372951
Orleans,2012,42995
Oswego,2012,122055
Otsego,2012,62147
Putnam,2012,99702
Queens,2012,2235008
Rensselaer,2012,159464
Richmond,2012,468374
Rockland,2012,312011
